Contract,Company,Division,NAICS,NAICS2,Remarks,JobsKOJ,JobsDescription,Code,Rationale
2025-03930-000,"MORIAH (TOWN OF), NEW YORK",,921190,922120.0,"COVERS HIGHWAY, WATER/SEWER. SOLID WASTE AND  POLICE DEPTS.","Excavating, grading and related occupations (850); Gardening and groundskeeping occupations (406); Mechanics and machinery repairers, n.e.c. (639); Occupations in filtration, purification and distribution of water (954); Police officers and detectives, pu","MAINTENANCE, GROUND; MAINTENANCEMAN, WTR; OFFICER, POLICE; OPERATOR, HVY EQPMT; OPERATOR, PLANT",Already Has NAICS2,Correctly coded with 921190 + 922120 for highway/water + police
2023-05301-000,STATE OF WASHINGTON,ENTERPRISE SERVICES DEPARTMENT,921190,,,"Bookbinding machine operators and related occupations (653); Laborer (998); Mailing and Misc. office machine operators (208); Occupations in moving and storing materials and products, n.e.c. (922); Printing occupations, n.e.c. (659)","ASSISTANT, PRESS; BINDERY, SPECIALIST; OPERATOR, ENVELOPE; WAREHOUSE, OPERATOR; WORKER, PRINTING SV",Correctly Single-Coded,"All print shop/enterprise services (bindery, warehouse, mail) - single operational function"
2025-03857-000,"HUNTINGTON BEACH (CITY OF), CALIFORNIA",,921100,,MERGED INTO LU 986 ON 5/30/2025. AKA THE HUNTINGTON BEACH MUNICIPAL EMPLOYEES ASSOCIATION.   REPRESENTATION SERVICE AGMT.,"Gardening and groundskeeping occupations (406); Inspectors and investigators, managerial and public service (168); Mechanics and machinery repairers, n.e.c. (639); Occupations in filtration, purification and distribution of water (954); Occupations in mov","INSPECTOR; LEADMAN, TREE MAINT; MECHANIC; TECHNICIAN, WATER; WAREHOUSEKEEPER",Should Have NAICS2,"Mix of building inspection, water operations, and parks/grounds - distinct NAICS families"
2025-03876-000,"PERRIS (CITY OF), CALIFORNIA",,921100,,MERGED INTO LU 986 ON 5/30/2025. MEMORANDUM OF UNDERSTANDING. NO JOB CLASSIFICATIONS.,Unclassified (000),EMPLOYEE,Unclear,No job classifications listed - insufficient information
2024-02154-000,"COLUMBIA (COUNTY OF), PENNSYLVANIA",,922150,,COVERS PROBATION AND DOMESTIC RELATIONS UNIT. SAME CBA AS NO. 2023-03775-000 BUT SIGNATURES DIFFER.,"Protective service occupations, n.e.c. (379)","OFFICER, ENFORCEMNT; OFFICER, PROBATION",Correctly Single-Coded,Probation and domestic relations unit only - single function
2023-05125-000,"LAKE FOREST PARK (CITY OF), WASHINGTON",PUBLIC WORKS DEPARTMENT,921190,,COVERS MAINTENANCE UNIT,"Mechanics and machinery repairers, n.e.c. (639)","MAINTENANCEMAN; MAINTENANCEMAN, LD",Correctly Single-Coded,Public works maintenance unit only - single function
2024-02026-000,STATE OF CALIFORNIA,SUPERIOR COURT OF CALIFORNIA,999300,,SIDE LETTER TO MEMORANDUM OF UNDERSTANDING. EXTENDS AND AMENDS CONTRACT.,"Accountants and auditors (160); Government service clerks, n.e.c. (243); Lawyers (110); Misc. professional, techical and managerial occupations, n.e.c. (199); Occupations in social and welfare work (195)","ACCOUNTANT; ANALYST, APPLICATN; ATTORNEY, STAFF; COUNSELOR, MENTAL; DEVELOPER",Correctly Single-Coded,"Superior Court employees (accountants, clerks, lawyers, counselors) - all court operations"
2025-03540-000,"TUKWILA (CITY OF), WASHINGTON",MAINTENANCE AND TRADES,921190,,MOU EXTENDS FULL TEXT (INCLUDED) TO 2026. COVERS MAINTENANCE/TRADES EMPLOYEES.,"Building and related service occupations, n.e.c. (389); Mechanics and machinery repairers, n.e.c. (639); Motorized vehicle and engineering equipment mechanics and repairers (620); Occupations in filtration, purification and distribution of water (954); Pa","CUSTODIAN, FACILITY; FOREMAN, FACILTY OP; SPECIALIST, WATER; TECHNICIAN, FLEET; WORKER, MAINTENANCE",Correctly Single-Coded,"All maintenance/trades workers (custodians, mechanics, fleet, water) - homogeneous maintenance unit"
2025-03545-000,"PORT TOWNSEND (CITY OF), WASHINGTON",,921190,,GENERAL GOVERNMENT.,"Accountants and auditors (160); Inspectors and investigators, managerial and public service (168); Janitors (382); Mechanics and machinery repairers, n.e.c. (639); Occupations in museum, library and archival sciences, n.e.c. (109)","ACCOUNTANT; ASSOCIATE, LIBRARY; CUSTODIAN; INSPECTOR, BUILDING; MECHANIC",Should Have NAICS2,Includes library assistants (519120) and building inspectors (924120) alongside general admin
2025-03541-000,"TUKWILA (CITY OF), WASHINGTON",PROFESSIONAL AND SUPERVISORY,921190,,"MOU EXTENDS FULL TEXT (INCLUDED) ONE YEAR.  COVERS PUBLIC, PROFESSIONAL AND OFFICE-CLERICAL EMPLOYEES AND DRIVERS.","Building and related service occupations, n.e.c. (389); Electronic and electomechanical data processors (213); Finance, insurance, and real estate managers and officials (186); Misc. personal service occupations, n.e.c. (359); Occupations in athletics and","ADMIN, DATABASE; MAINTENANCE, PARKS; PRO, GOLF; SPRVSR, FISCAL; SPRVSR, POLICE RCRD",Should Have NAICS2,"Mix of golf professional (713910), police records (922120), parks, database admin - multiple distinct areas"
2025-03538-000,"TUKWILA (CITY OF), WASHINGTON",,921190,,MOU EXTENDS FULL TEXT (INCLUDED) TO 2026.  COVERS SENIOR PROGRAM MANAGER EMPLOYEES.,"Occupations in administrative specializations, n.e.c. (169); Service industry managers and officials (187)","MANAGER, COURT SUPP; MANAGER, EMERGENCY; MANAGER, SENIOR PRG",Correctly Single-Coded,Senior program managers only - management unit
2025-03539-000,"TUKWILA (CITY OF), WASHINGTON",,921190,,MOU EXTENDS FULL TEXT (INCLUDED) TO 2026.  COVERS ADMINISTRATIVE/TECHNICAL EMPLOYEES.,"Computing and account recording occupations, n.e.c. (219); File clerks (206); Inspectors and investigators, managerial and public service (168); Payroll, timekeeping and duty roster clerks (215); Secretaries (201)","ASSISTANT, ADMIN; INSPECTOR, BUILDING; SPECIALIST, PAYROLL; SUPPORT, IT; TECH., PERMIT",Correctly Single-Coded,"All administrative/technical support (admin assistants, IT, payroll, permits)"
2025-03461-000,"FRANKLIN (BOROUGH OF), NEW JERSEY",,921190,,COVERS F/T BLUE COLLAR PUBLIC WORKS WORKERS.,"Building and related service occupations, n.e.c. (389); Laborer (998); Mechanics and machinery repairers, n.e.c. (639); Occupations in moving and storing materials and products, n.e.c. (922)",CUSTODIAN; FOREMAN; LABORER; MECHANIC,Correctly Single-Coded,"Blue collar public works only (custodians, laborers, mechanics) - homogeneous unit"
2025-03451-000,"PLATTSBURGH (TOWN OF), NEW YORK",,921190,,SEE AGMT. FOR DEPARTMENTS COVERED.,"Misc. machine trades occupations, n.e.c. (699); Misc. occupations in machine installation and repair (638); Motorized vehicle and engineering equipment mechanics and repairers (620); Occupations in disposal of refuse and sewage (955)","MECHANIC; OPERATOR, MTR EQUIP; OPERATOR, WW PLANT; WORKER, BLDG MAINT.; WORKER, WW MAINT",Correctly Single-Coded,"All public works operations (mechanics, equipment operators, wastewater)"
2025-03417-000,"OCEANSIDE (CITY OF), CALIFORNIA",,921190,,,"Accounting and statistical clerks (216); Janitors (382); Librarians (100); Occupations in assembly, installation and repair of lighting equipment and building wiring, n.e.c. (824); Occupations in filtration, purification and distribution of water (954)","CLERK, ACCOUNTING; CUSTODIAN; ELECTRICIAN; LIBRARIAN; OPERATOR, WTR PLNT",Should Have NAICS2,"Includes LIBRARIANS (519120), water operators (221310), electricians - distinct NAICS families"
2025-03418-000,"BUENA PARK (CITY OF), CALIFORNIA",,921190,,REPRESENTATION SERVICE AGREEMENT BETWEEN BUENA PARK EMPOYEES ASSOCIATION AND TEAMSTERS LU 911 (MERGED INTO LU 986).  NO JOB CLASSIFICATIONS.,Unclassified (000),EMPLOYEE,Unclear,No job classifications listed - insufficient information
2025-05568-000,"ALTOONA (CITY OF), WISCONSIN",CLERICAL EMPLOYEES,921190,,COVERS CLERICAL EMPLOYEES UNIT.,"Misc. clerical occupations, n.e.c. (249)",CLERICAL 1; CLERICAL 2,Correctly Single-Coded,Clerical employees unit only
2025-05570-000,"COLONA (CITY OF), ILLINOIS",ADMINISTRATIVE UNIT,921190,,COVERS OFFICE AND ADMINISTRATIVE UNIT.,"Billing and rate clerks (214); Government service clerks, n.e.c. (243); Police officers and detectives, public service (375)","CLERK, OFFICE; CLERK, POLICE; CLERK, UTILITY BILL; CLERK, WATER; OFFICER, COMM SERV",Should Have NAICS2,Includes POLICE OFFICERS (922120) in admin unit - police distinct from admin
2025-03304-000,"RANCHO CUCAMONGA (CITY OF), CALIFORNIA",,921190,,MEMORANDUM OF UNDERSTANDING.   MAINTENANCE BARGAINING UNIT.,"Mechanics and machinery repairers, n.e.c. (639); Motorized vehicle and engineering equipment mechanics and repairers (620); Occupations in assembly, installation and repair of lighting equipment and building wiring, n.e.c. (824); Occupations in assembly,","ELECTRICIAN; MECHANIC; SPECIALIST, INVNTRY; TECH., SIGNAL LITE; WORKER, MAINTENANCE",Correctly Single-Coded,"All maintenance workers (mechanics, electricians, signal techs) - homogeneous trades unit"
2026-00290-000,"ANACORTES (CITY OF), WASHINGTON",,921190,519210.0,COVERS VARIOUS CITY EMPLOYEES. SEE ADDENDUM A FOR WAGES.,"Government service clerks, n.e.c. (243); Janitors (382); Occupations in filtration, purification and distribution of water (954); Occupations in museum, library and archival sciences, n.e.c. (109); Secretaries (201)","AIDE, MUSEUM; ASSISTANT, ADMIN.; CLERK, COURT; CUSTODIAN; OPER., WATER PLANT",Already Has NAICS2,Correctly coded with 921190 + 519210 for museum/library
2026-00293-000,"BEACH HAVEN (BOROUGH OF), NEW JERSEY",,921190,,MOA ONLY EXTENDS AND AMENDS PREDECESSOR. COVERS OFFICE CLERICAL EMPLOYEES.,"Government service clerks, n.e.c. (243); Payroll, timekeeping and duty roster clerks (215); Stenography, typing, filing and related occupations, n.e.c. (209); Typists and typewriting machine operators (203)","CLERK; CLERK, PAYROLL; CLERK, PERMIT; CLERK-TYPIST; COLLECTOR, TAX",Correctly Single-Coded,Office clerical employees only
2026-00296-000,"STANWOOD (CITY OF), WASHINGTON",ADMINISTRATIVE UNIT,921190,,COVERS CITY ADMINISTRATIVE EMPLOYEES. SEE APPENDIX A FOR WAGES.,"Accounting and statistical clerks (216); Civil engineering occupations (005); File clerks (206); Government service clerks, n.e.c. (243); Secretaries (201)","ASSISTANT, ADMIN.; ASST. PLANNER, CITY; CLERK, ACCOUNTING; CLERK, POLICE FILES; DEPUTY CLERK, CITY",Correctly Single-Coded,"All administrative employees (accounting, planning, file clerks)"
2025-05503-000,"SEQUIM (CITY OF), WASHINGTON",NON-UNIFORMED EMPLOYEES,921190,,,,,Unclear,No job classifications listed (all nan) - insufficient information
2026-00271-000,"NEWBURYPORT (CITY OF), MASSACHUSETTS",PROFESSIONAL / ADMIN. / TECHNICAL,921190,,"MOA ONLY RE: WAGE INCREASES. CITY PROFESSIONAL, ADMIN, AND TECHNICAL UNIT. SEE FULL TEXT AGMT. NO. 2023-00028-000","Accountants and auditors (160); Government service clerks, n.e.c. (243); Protective service occupations, n.e.c. (379); Secretaries (201); Stenography, typing, filing and related occupations, n.e.c. (209)","ASST., ADMIN; CLERK, CITY; COORDINATOR, TRNSPT; MANAGER, ACCOUNTING; OFFICER, ANIMAL CTR",Correctly Single-Coded,Professional/admin/technical unit - animal control officer is minor support function within admin
2025-03190-000,"MARYSVILLE (CITY OF), CALIFORNIA",GENERAL MISCELLANEOUS UNIT,921190,,,"Accountants and auditors (160); Inspectors and investigators, managerial and public service (168); Mechanics and machinery repairers, n.e.c. (639); Occupations in disposal of refuse and sewage (955); Secretaries (201)","ACCOUNTANT; ASSISTANT, ADMIN.; INSPECTOR, BUILDING; MAINTENANCE; OP., WASTE WATER",Should Have NAICS2,"Mix of building inspectors, wastewater operators, and admin - distinct operational areas"
2026-00204-000,"MORTON (CITY OF), WASHINGTON",NON-COMMISSIONED UNIT,921190,926130.0,COVERS VARIOUS NON-COMMISSIONED CITY EMPLOYEES. SEE AGMT FOR DEPARTMENTS COVERED. SEE APPENDIX A FOR WAGES.,"File clerks (206); Finance, insurance, and real estate managers and officials (186); Occupations in filtration, purification and distribution of water (954); Public administration managers and officials (188); Stenography, typing, filing and related occup","CLERK, ADMIN.; CLERK, POLICE; LEAD, PUBLIC WORKS; OPER., WATER PLANT; TREASURER, CITY",Already Has NAICS2,Correctly coded with 921190 + 926130 for admin + water/public works
2026-00192-000,"WEST DEER (TOWNSHIP OF), PENNSYLVANIA",CLERICAL UNIT,921190,,,"Occupations in administrative specializations, n.e.c. (169); Secretaries (201)","ASSISTANT, ADMIN; ASSISTANT, ZONING; ASST, ADMIN POLICE",Correctly Single-Coded,"Clerical unit only (admin assistants, zoning assistants)"
2025-05380-000,"SUMNER (CITY OF), WASHINGTON",OPERATIONS AND FACILITIES DIVISION,921190,,"COVERS THE PUBLIC WORKS, PARKS,  AND CEMETERY DEPARTMENTS.","Gardening and groundskeeping occupations (406); Mechanics and machinery repairers, n.e.c. (639); Motorized vehicle and engineering equipment mechanics and repairers (620); Occupations in production and distribution of utilities, n.e.c. (959)","GROUNDSKEEPER; MECHANIC, FLEET; OPERATOR, PB WRKS; SUPERVISOR, MAINT.; TECH, MAINTENANCE",Should Have NAICS2,"Explicitly covers public works, PARKS, and CEMETERY - parks (712190) and cemetery (812220) are distinct"
2026-00147-000,"DEPTFORD (TOWNSHIP OF), NEW JERSEY",CLERICAL / ADMINISTRATIVE UNIT,921190,922120.0,"COVERS TOWN DISPATCHERS, ADMINISTRATIVE EMPLOYEES, AND POLICE ADMINISTRATIVE EMPLOYEES. SEE MOU PGS. 33-34 FOR WAGES. INCLUDES MOU.","File clerks (206); Stenography, typing, filing and related occupations, n.e.c. (209)","CLERK, ADMIN.; CLERK, POLICE RECS.",Already Has NAICS2,Correctly coded with 921190 + 922120 for admin + police admin
2025-05344-000,"UNION BEACH (BOROUGH OF), NEW JERSEY",,921190,,COVERS NON-SUPERVISORY EMPLOYEES.,"Laborer (998); Mechanics and machinery repairers, n.e.c. (639); Motorized vehicle and engineering equipment mechanics and repairers (620); Stenography, typing, filing and related occupations, n.e.c. (209); Truck drivers, heavy (905)","CLERK; DRIVER, HEAVY TRUCK; LABORER; MECHANIC; REPAIR, MAINTENANCE",Should Have NAICS2,"Mix of clerks and blue collar workers (laborers, mechanics, truck drivers) - distinct service areas"
2026-00117-000,"WALLINGFORD (TOWN OF), CONNECTICUT",,921190,,SEE AGMT FOR DEPTS COVERED.,"Drafters, n.e.c. (017); Mechanics and machinery repairers, n.e.c. (639); Occupations in disposal of refuse and sewage (955); Typists and typewriting machine operators (203)","DRAFTSPERSON, ENG.; LABORER, SEWER; MAINTAINER; MECHANIC; TYPIST, CLERK",Should Have NAICS2,"Mix of clerical (typists), engineering (drafters), and sewer operations - distinct areas"
2026-00112-000,"SOUTH ST. PAUL (CITY OF), MINNESOTA",,921190,,SEE AGMT. FOR DEPTS. COVERED.,"Excavating, grading, paving, and related occupations, n.e.c. (859); Mechanics and machinery repairers, n.e.c. (639); Motorized vehicle and engineering equipment mechanics and repairers (620); Packaging and materials handling occupations, n.e.c. (929)","MAINT., FACILITIES; MECHANIC; OPERATOR, EQUIPMENT; WORKER, MAINTENANCE; WORKER, UTILITY",Correctly Single-Coded,"All public works/maintenance (mechanics, operators, utility workers)"
2025-05313-000,"GRESHAM (CITY OF), OREGON",GENERAL UNIT,921190,,CONTRACT NO. 313349. ADDITIONAL WORKSITE: 2123 SE HOGAN RD GRESHAM OR 97080. THIS CONTRACT IS A MORE COMPLETE VERSION OF CONTRACT#2025-04953-000 (THAT CONTRACT WAS MISSING THE CONTRACT#).,"Inspectors and investigators, managerial and public service (168); Occupations in administrative specializations, n.e.c. (169); Occupations in assembly, installation and repair of lighting equipment and building wiring, n.e.c. (824); Plumbers, gas fitters","ELECTRICIAN; EXAMINER, PLANS I; INSPECTOR, BLDG I; INSPECTOR, BLDG II; PLUMBER",Correctly Single-Coded,"All building/permitting related (inspectors, electricians, plumbers, planners) - construction inspection unit"
2026-00092-000,"HOBART (CITY OF), INDIANA",,921190,,INCLUDES ADDENDUM.,"Excavating, grading and related occupations (850); Government service clerks, n.e.c. (243); Laborer (998); Mechanics and machinery repairers, n.e.c. (639); Trailer-truck, drivers (904)","CLERK; DRIVER; LABORER; MECHANIC; OPERATOR, HVY EQUIP",Should Have NAICS2,"Mix of clerks and blue collar public works (drivers, laborers, mechanics, operators)"
2025-05296-000,"PARADISE (TOWNSHIP OF), PENNSYLVANIA",CLERICAL AND PUBLIC WORKS DEPTS,921190,,COVERS EMPLOYEES IN CLERICAL DEPT. AND DEPT. OF PUBLIC WORKS.,"Excavating, grading and related occupations (850); Excavating, grading, paving, and related occupations, n.e.c. (859); Occupations in moving and storing materials and products, n.e.c. (922); Secretaries (201)","LABORER; OPERATOR, EQPMT; ROADMASTER, ASST.; ROADMASTER-FORMN; SECRETARY, ADMIN",Should Have NAICS2,Explicitly covers CLERICAL AND PUBLIC WORKS - distinct service areas
2025-05277-000,"MARATHON CITY (VILLAGE OF), WISCONSIN",CLERICAL AND PUBLIC WORKS,921190,,COVERS CLERICAL AND PUBLIC WORKS EMPLOYEES.,"Excavating, grading, paving, and related occupations, n.e.c. (859); File clerks (206); Government service clerks, n.e.c. (243); Occupations in filtration, purification and distribution of water (954); Occupations in moving and storing materials and produc","ASSISTANT, OFFICE; CLERK; EMPLOYEE, PUB WORKS; FOREMAN, STREET; OPTR, WATER PLANT",Should Have NAICS2,Explicitly covers CLERICAL AND PUBLIC WORKS (office assistants + highway/water workers)
2025-05251-000,"COOK (COUNTY OF), ILLINOIS",BUREAU OF ADMINISTRATION PRINT SHOP,323111,,BUREAU OF ADMINISTRATION PRINT AND GRAPHIC SERVICES.,"Occupations in graphic art work, n.e.c. (979); Printing machine occupations (652); Printing press occupations (651)","OPERATOR, MULTILITH; TECHNICIAN, GRAPHIC; TECHNICIAN, REPRO.",Correctly Single-Coded,"Print shop only (printing press operators, graphic technicians) - single function"
2025-05234-000,"BATTLE GROUND (CITY OF), WASHINGTON",PUBLIC WORKS/CLERICAL,926120,926130.0,COVERS PUBLIC WORKS AND CLERICAL UNIT.,"Accounting and statistical clerks (216); Government service clerks, n.e.c. (243); Mechanics and machinery repairers, n.e.c. (639); Misc. occupations in machine installation and repair (638); Motorized vehicle and engineering equipment mechanics and repair","CLERK, COURT; SPEC, FAC MAINT; SPEC, FLEET MAINT; TECH, ACCOUNTING; WORKER, MAINT",Already Has NAICS2,Correctly coded with 926120 + 926130 for public works + clerical
